x,s,v,rho_over_rho0
1.583410223366876311e-06,5.628911155494683683e-06,-4.733215801509032872e+00,9.999999999971498355e-01
1.595567513727580991e-06,5.672129461352398224e-06,-4.733215801508954712e+00,9.999999999970926590e-01
1.607818146739945594e-06,5.715679593723197741e-06,-4.733215801508875664e+00,9.999999999970343723e-01
1.620162839080989424e-06,5.759564100343107307e-06,-4.733215801508794840e+00,9.999999999969749753e-01
1.632602312930314249e-06,5.803785548509445328e-06,-4.733215801508712239e+00,9.999999999969149123e-01
1.645137296012365951e-06,5.848346525231052459e-06,-4.733215801508628751e+00,9.999999999968538500e-01
1.657768521638987980e-06,5.893249637379577619e-06,-4.733215801508543485e+00,9.999999999967921216e-01
1.670496728752332677e-06,5.938497511842013379e-06,-4.733215801508457332e+00,9.999999999967285058e-01
1.683322661968085582e-06,5.984092795674366372e-06,-4.733215801508369402e+00,9.999999999966644459e-01
1.696247071619038281e-06,6.030038156256546584e-06,-4.733215801508280585e+00,9.999999999965992759e-01
1.709270713798964725e-06,6.076336281448351013e-06,-4.733215801508189990e+00,9.999999999965334396e-01
1.722394350406866198e-06,6.122989879746742442e-06,-4.733215801508097620e+00,9.999999999964657160e-01
1.735618749191540078e-06,6.170001680444302199e-06,-4.733215801508004361e+00,9.999999999963975483e-01
1.748944683796491851e-06,6.217374433788875533e-06,-4.733215801507909326e+00,9.999999999963278263e-01
1.762372933805206060e-06,6.265110911144515506e-06,-4.733215801507812515e+00,9.999999999962574382e-01
1.775904284786734038e-06,6.313213905153539870e-06,-4.733215801507714815e+00,9.999999999961857178e-01
1.789539528341663025e-06,6.361686229899948290e-06,-4.733215801507614451e+00,9.999999999961127761e-01
1.803279462148419223e-06,6.410530721074029646e-06,-4.733215801507514087e+00,9.999999999960390573e-01
1.817124890009948202e-06,6.459750236138302560e-06,-4.733215801507410170e+00,9.999999999959638952e-01
1.831076621900715282e-06,6.509347654494601965e-06,-4.733215801507306253e+00,9.999999999958871788e-01
