Xi,fb_core,eta,f_r,f_rho,eps,nodes,method,valid
0.5130196869,0.5347808145,2.1841439500,0.4297049439,5.4045462336,-2.5748531511,0,continuation,1
0.6383153809,0.2254558027,0.1737902014,0.3516115169,5.7338825987,-0.5686224056,0,direct,1
0.5100857401,0.1418141496,4.9192374226,0.4589520720,3.6934470961,-3.0709960819,0,continuation,1
0.7744487297,0.4435903776,0.7147983400,0.3159558072,8.5909008235,-0.9582805449,0,continuation,1
0.5670888865,0.3337311309,1.2574618476,0.4120044863,4.8395884594,-0.9708323332,0,continuation,1
0.8424864014,0.0272042002,3.7017609769,0.3096379253,6.6576709778,-0.8308100172,0,continuation,1
0.1365231553,0.3040539134,0.5609228652,0.7167285204,1.8204136486,-0.6180566234,0,direct,1
0.9459929333,0.7983889552,0.3030478856,0.2426080907,19.8534103846,-1.4170039459,0,continuation,1
0.2181169647,0.0507023472,1.4839010109,0.7273711389,1.5583498689,-0.5915895793,0,direct,1
0.0792104193,0.5816436794,1.9530079852,0.7277442767,2.4393506575,-2.2091196599,0,continuation,1
0.9117873811,0.0470170332,1.1050584137,0.2871346834,8.0130040516,-0.6479531993,0,continuation,1
0.4162426273,0.7707197557,0.1397275025,0.3329407328,9.1455993027,-0.8191978402,0,continuation,1
0.6446307122,0.2450940966,0.2995157193,0.3601747409,5.6420926823,-0.5972809337,0,direct,1
0.7047679685,0.2637646518,0.1672837449,0.3206340892,7.2902862939,-0.6311035108,0,direct,1
0.6848876617,0.4882444607,3.4013570198,0.3535057948,7.5058766857,-5.0284810025,0,continuation,1
0.7741707721,0.4141138256,0.1180311299,0.2725385338,11.7903276182,-0.8105650211,0,continuation,1
0.2803230342,0.7582802600,1.0525879203,0.5413648264,3.9213877067,-1.3207293252,0,continuation,1
0.5013233849,0.5836110401,0.4994340157,0.4054115381,5.7120072279,-0.8216461800,0,continuation,1
0.6613473776,0.0631197584,0.9278205876,0.3814188069,4.3047670242,-0.5325264238,0,direct,1
0.6531196136,0.3779519830,3.6210326585,0.3704033157,6.4921560041,-4.4056642430,0,continuation,1
